price,name,_id
43.90,包邮 从零开始学Python网络爬虫程序编程框架架构开发设计实战 数据采集分析技术书籍,5a9ea6074d38bc106c417ce7
78.20,PyQt5快速开发与实战,5a9ea6074d38bc106c417ce8
95.00,包邮Python数据挖掘入门与实践+Python数据分析与挖掘实战  2本,5a9ea6074d38bc106c417ce9
41.30,Python和Pygame游戏开发指南,5a9ea6074d38bc106c417cea
49.00,精通Python网络爬虫：核心技术、框架与项目实战 Python编程入门教程书籍,5a9ea6074d38bc106c417ceb
199.00,Python大战机器学习+TensorFlow实战+机器学习算法+机器学习及实战,5a9ea6074d38bc106c417cec
161.00,包邮 Python Web开发实战+SRE:Google运维解密 2本,5a9ea6074d38bc106c417ced
101.00,区域包邮 灰帽黑客(第4版)+Python黑帽子:黑客与渗透测试编程之道 2本,5a9ea6074d38bc106c417cee
36.80,包邮 NLTK基础教程 用NLTK和Python库构建机器学习应用  自然语言处理 NL,5a9ea6074d38bc106c417cef
66.00,包邮Python Linux系统管理与自动化运维 Python Linux操作系统编程教程,5a9ea6074d38bc106c417cf0
61.20,Python数据处理,5a9ea6074d38bc106c417cf1
131.80,包邮 Python贝叶斯分析+贝叶斯方法+贝叶斯思维 统计建模的Python学习法,5a9ea6074d38bc106c417cf2
42.60,Python 3.5从零开始学 python3.5编程教程书籍 python编程从入门到实,5a9ea6074d38bc106c417cf3
189.00,Python高效开发实战+Python Web开发实战+Flask Web开发-基于Pyt,5a9ea6074d38bc106c417cf4
41.30,精通Python爬虫框架Scrapy,5a9ea6074d38bc106c417cf5
49.50,Python编程导论 第2版 Python3编程教程 Python程序设计算法 预售,5a9ea6074d38bc106c417cf6
73.50,包邮 零起点python足彩大数据与机器学习实盘分析 人工智能算法 大数据分析书,5a9ea6074d38bc106c417cf7
35.00,Python程序设计——从基础到开发,5a9ea6074d38bc106c417cf8
35.75,Effective Python：编写高质量Python代码的59个有效方法 英文版 (美,5a9ea6074d38bc106c417cf9
35.80,PySpark实战指南：利用Python和Spark构建数据密集型应用并规模化部署 [美],5a9ea6074d38bc106c417cfa
61.56,正版包邮 Python高效开发实战:Django、Tornado、Flask、Twiste,5a9ea6074d38bc106c417cfb
55.20,Python编程快速上手 让繁琐工作自动化 计算机与互联网 书箱|4971515,5a9ea6074d38bc106c417cfc
83.60,Web接口开发与自动化测试——基于Python语言+软件自动化测试开发 2本,5a9ea6074d38bc106c417cfd
28.30,正版现货 Python程序设计教程 范建农 电子工业出版社,5a9ea6074d38bc106c417cfe
53.60,预售 包邮 Python编程导论（2版）Python3编程教程 数据分析建模机器学习书籍,5a9ea6074d38bc106c417cff
124.80,包邮 Python科学计算基础教程+Python科学计算(第2版) 2本,5a9ea6074d38bc106c417d00
239.80,共5本 python数据分析基础+数据处理+网络数据采集+数据抓取技术与实战+网络爬虫,5a9ea6074d38bc106c417d01
41.50,机器人Python极客编程入门与实战 Python极客团队 python极客机器人编程,5a9ea6074d38bc106c417d02
46.40,毫无障碍学Python(附光盘),5a9ea6074d38bc106c417d03
55.20,跟老齐学Python：Django实战 计算机与互联网 书箱|6646709,5a9ea6074d38bc106c417d04
51.05,Python自动化运维(技术与*佳实践)/Linux Unix技术丛书,5a9ea6074d38bc106c417d05
53.60,Python全栈开发实践入门 python书籍 Python Web Flask框架,5a9ea6074d38bc106c417d06
50.20,Python数据分析,5a9ea6074d38bc106c417d07
35.00,Python网络爬虫从入门到实践 python数据抓取技术教程书籍 python网络爬虫,5a9ea6074d38bc106c417d08
90.74,Python编程从入门到实践 python3.0基础教程 精通核心编程语言书籍 计算机程序,5a9ea6074d38bc106c417d09
95.60,包邮 零起点TensorFlow快速入门+Python机器学习快速入门 2本,5a9ea6074d38bc106c417d0a
57.60,Python面向对象编程指南 计算机与互联网 书籍,5a9ea6074d38bc106c417d0b
49.60,数据结构（Python语言描述）兰伯特 Python编程基础教程书籍,5a9ea6074d38bc106c417d0c
95.00,包邮 Python机器学习实例+Python机器学习算法 机器学习入门教程书籍,5a9ea6074d38bc106c417d0d
57.60,Python网络编程(第3版) 计算机与互联网 书籍,5a9ea6074d38bc106c417d0e
48.60,Selenium WebDriver3.0 自动化测试框架实战指南 python语言版,5a9ea6074d38bc106c417d0f
42.60,Python全栈数据工程师养成攻略 视频讲解版 Python机器学习入门教程书籍,5a9ea6074d38bc106c417d10
36.00,Python编程基础与HTTP接口测试 计算机与互联网 书箱|7166196,5a9ea6074d38bc106c417d11
44.20,21天学通Python 刘凌霞郝宁波吴海涛编 计算机与互联网 书籍,5a9ea6074d38bc106c417d12
47.40,Keras快速上手:基于Python的深度学习实战,5a9ea6074d38bc106c417d13
95.60,包邮 跟老齐学Python：Django实战 +轻松入门 2本 Django开发实战教程,5a9ea6074d38bc106c417d14
31.80,包邮 爱上Python 一日精通Python编程 python编程基础学习手册教程工具书,5a9ea6074d38bc106c417d15
52.40,Python数据分析基础 计算机与互联网 书籍,5a9ea6074d38bc106c417d16
70.30,Python核心编程 第3版,5a9ea6074d38bc106c417d17
27.00,爱上Python 一日精通Python编程  [Learn Python in One D,5a9ea6074d38bc106c417d18
55.30,Python语言及其应用,5a9ea6074d38bc106c417d19
51.80,Python自动化运维:技术与最佳实践(刘天斯),5a9ea6074d38bc106c417d1a
42.60,预测分析：Python语言实现 预测分析建模教程书籍 数据可视化分析技术书籍 数据挖掘建模,5a9ea6074d38bc106c417d1b
175.60,流畅的Python + TensorFlow技术解析与实战 精通Python畅销书籍 T,5a9ea6074d38bc106c417d1c
115.00,包邮 基于ArcGIS的Python编程秘笈+ArcGIS开发权威指南,5a9ea6074d38bc106c417d1d
47.52,正版包邮 Python极客项目编程,5a9ea6074d38bc106c417d1e
38.35,从零开始学Python网络爬虫,5a9ea6074d38bc106c417d1f
57.70,Python地理空间分析指南(第2版) 计算机与互联网 书籍,5a9ea6074d38bc106c417d20
49.70,Python可以这样学,5a9ea6074d38bc106c417d21
26.91,Python设计模式(第2版),5a9ea6074d38bc106c417d22
60.50,Python数据分析（影印版）,5a9ea6084d38bc106c417d23
48.40,机器人Python极客编程入门与实战,5a9ea6084d38bc106c417d24
39.80,【正版现货】OpenCV3计算机视觉：Python语言实现（原书第2版）Python入门书,5a9ea6084d38bc106c417d25
